"Nr","Lat","Long","Municipio","CodIbge","Estado","Bioma","AreaKm2","Desmatamento2000","incremento2001","incremento2002","incremento2003","incremento2004","incremento2005","incremento2006","incremento2007","incremento2008","incremento2009","incremento2010","incremento2011","incremento2012","incremento2013","incremento2014","incremento2015","incremento2016","incremento2017","incremento2018","incremento2019","incremento2020","incremento2021","incremento2022","Floresta2022","NaoFloresta","Hidrografia"
140,3.01735095500004,-60.7455755370615,"Boa Vista",1400100,"RR","Amazônia",5652.1938,9.8,1.3,0.5,1.2,3.4,0,1.2,0,2.3,0.2,0.6,0.2,0,0.2,0.3,0.1,0.1,0,0,0.1,0.9,0.4,0.8,144.4,5372.7,111.1
141,2.79289209850003,-60.174556880154,"Bonfim",1400159,"RR","Amazônia",8095.75251,114.6,48.5,81.1,66.4,11.1,3.3,10.8,6.6,19.5,2.4,7.5,3.8,2.5,2.7,2.1,8.3,2.9,1.7,2.4,12.5,9,1.8,3.8,1469.9,6165.6,32.2
142,2.29605709050006,-60.5366794300662,"Cantá",1400175,"RR","Amazônia",7652.48958,880.8,173.5,28.6,110.2,33,18.6,29.6,30.3,121.3,8,35.2,8.6,12.4,9.5,16.9,24.1,22.8,9.8,9.3,85,21,19.5,12.6,5021.2,835.1,68.6
143,0.311938693000059,-62.1042449778435,"Caracaraí",1400209,"RR","Amazônia",47251.93068,679.3,79.2,10.8,55.9,34.1,6.8,15.1,22.6,42.2,8.9,19,22.1,22,13.7,33.4,19.7,38.1,22.4,18.2,99.5,36,22.7,39.4,30806.8,14473.6,599.9
144,0.962358590500031,-59.3256636415822,"Caroebe",1400233,"RR","Amazônia",12062.53999,530.9,98.4,37.3,30.7,28.4,21,35.2,49.9,38.1,23.8,19.2,14.8,11.3,9,17.3,20.4,25.9,15.4,11.9,37,41.9,37.3,31.9,10771.3,12.9,82.4
145,2.17926642850006,-61.6542245107637,"Iracema",1400282,"RR","Amazônia",13524.42371,460.2,38.4,1.3,30,18.1,7,15.1,14.6,102.5,5.6,32.3,7.2,5.9,16.8,21.8,10.5,21.4,11.1,2.8,61.1,22.8,25.3,27.4,12510.7,47.5,8
146,2.52722762250005,-61.9952752403938,"Mucajaí",1400308,"RR","Amazônia",12718.20744,983.5,101.9,8.3,95.9,79.1,17.7,35.9,60.7,213.5,20.1,59.3,26.8,17.6,38.5,47.8,21.9,45.2,8.3,18.5,81.6,43.2,68.5,29.4,10357.8,184.5,43.4
147,3.83742694950142,-60.0314850884146,"Normandia",1400407,"RR","Amazônia",6949.97274,0.3,0,18.1,0.3,0,0,1.2,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,410.8,6494.4,24.2
148,4.16573421400005,-60.8777790667568,"Pacaraima",1400456,"RR","Amazônia",7961.55529,40.5,16.7,1.2,2.7,0.5,0,4.1,1.4,0,0.6,6.7,0.2,0,0.3,0.4,0.1,0.1,0.3,0,2.2,0.5,1.1,0.3,1513.1,6345.8,21.3
149,-0.220726322499956,-61.0610898352406,"Rorainópolis",1400472,"RR","Amazônia",33519.83828,737.2,102.7,27.6,54.2,33.3,17.9,8.6,18.8,26,18.2,15.9,10.8,15.5,22.8,19.4,23.3,25.3,33.7,37.7,97.2,79.5,54,78.7,23735.9,7644.2,558.8
150,0.770065230000057,-59.9200028473295,"São João da Baliza",1400506,"RR","Amazônia",4286.15222,328.8,53.6,16.6,14.6,14.9,11.6,13.9,26,15.1,8.8,7.3,5,3.7,6.7,6.7,3.5,6.2,4.5,4.9,10.6,8.3,21.4,17.2,3668.5,0.4,6.3
151,0.851323364500047,-60.1404686653242,"São Luiz",1400605,"RR","Amazônia",1583.10698,400.4,38.1,15.7,23.3,21.1,16.1,15.7,15,12.8,5.5,5.1,5.4,4.3,6.8,3.9,4.2,6.8,3.6,4,10.9,6.5,8,8.6,957,0,2.3
152,4.71487036372896,-60.3364669929814,"Uiramutã",1400704,"RR","Amazônia",8137.16253,19.2,0,0,0,5.5,0.5,6,0.3,0.4,1.7,11.7,0.7,0,0.8,1.1,0.1,0.1,0.2,0,1.9,1,0.5,0.5,2138,5939,7.6
153,-1.73441760549997,-48.8542213874623,"Abaetetuba",1500107,"PA","Amazônia",1628.5588,130.6,524.4,2.6,2.5,11.5,3.2,4.5,4,1.2,3,3.8,0.8,2.2,0.4,0.2,0.6,0.4,1.2,0.6,0.3,1.2,1.7,0.4,506.1,13.9,407.6
154,-4.96098822149995,-48.3958321370853,"Abel Figueiredo",1500131,"PA","Amazônia",598.62432,509.9,0.4,13.6,0.5,0.8,15.9,0.8,2,2,1,1.7,0.4,0,0.4,0.4,0.2,0.5,0.2,1,4.2,1.2,2.1,2.7,20.4,0,0
155,-2.03565414449994,-48.3204247020293,"Acará",1500206,"PA","Amazônia",4353.10954,1877.1,61.8,42.5,28,72.6,54.2,36.1,38,47.8,11.9,30.2,15,4.8,18.3,5.8,7,7.2,18.5,16.7,18.2,15.7,10.3,5.7,1795.9,42.7,65.5
156,-0.234736660999971,-50.7441267054758,"Afuá",1500305,"PA","Amazônia",8515.1183,20.4,0.3,3.2,0.8,0.2,1.1,1,0.1,0.1,0,1.7,0,0.2,0.1,0.2,0,0,0.1,0,0.1,0,0,0.2,5480.1,288.7,2716.8
157,-6.76289427599997,-50.3292981297961,"Água Azul do Norte",1500347,"PA","Amazônia",7120.20393,3962.8,253.1,132.3,50.7,31.4,78.9,20.1,31,22.9,10.9,7.1,7.5,6,5.3,13.5,9.5,9,8.4,4.7,9.7,8.1,5.4,4.5,2299.5,129.4,0
158,-0.297817914499888,-55.1527194760026,"Alenquer",1500404,"PA","Amazônia",23623.24261,2143.2,31.3,13.3,17.7,36.5,20.6,23.2,20.1,39.6,18.5,27.5,21.9,14.9,17.8,16.4,15.1,16.2,27.5,22,19.8,32.9,31.9,29,18765.2,2630.5,595.3
159,0.430460770500048,-54.010801338041,"Almeirim",1500503,"PA","Amazônia",72761.40228,1391.4,82.6,3.3,27.5,24.8,36.2,6.3,32.5,59,23.3,38.5,6.5,19.5,9.2,23.5,12.1,15,20.8,18.6,29.7,24.7,31.5,18.4,66997.2,2735.8,1058.6
160,-6.31857663549997,-54.2631421831715,"Altamira",1500602,"PA","Amazônia",159482.27399,2055.1,574.5,670.7,610.3,677.5,538.4,285.1,367.5,339.6,388.9,193.9,249.9,229,296.5,294.2,308.2,408.7,224.2,430,575.1,797.7,765.5,626,142031.2,3836.7,1688.9
161,-0.791683970499946,-49.9984902574841,"Anajás",1500701,"PA","Amazônia",6924.44632,19.1,116.6,24.5,0.3,0.6,1.7,0.3,0.1,0,1,12,0.3,0.1,0,0,0.1,0.4,0,0,0.4,0.9,1,0.1,6393.2,217.5,133.9
162,-1.34243738149996,-48.389322767448,"Ananindeua",1500800,"PA","Amazônia",188.73032,72.4,10.4,0.9,0.9,0.7,0.5,1,0,0,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,79.8,0,21
