cod_ibge,id_mun,ano,casos
1504422,150442,2014,107
1504455,150445,2014,15
1504505,150450,2014,1
1504604,150460,2014,2
1504703,150470,2014,3
1504752,150475,2014,30
1504802,150480,2014,3
1504901,150490,2014,12
1504950,150495,2014,3
1504976,150497,2014,15
1505007,150500,2014,0
1505031,150503,2014,69
1505064,150506,2014,11
1505106,150510,2014,11
1505205,150520,2014,3
1505304,150530,2014,214
1505403,150540,2014,1
1505437,150543,2014,17
1505486,150548,2014,182
1505494,150549,2014,0
1505502,150550,2014,9
1505536,150553,2014,529
1505551,150555,2014,0
1505601,150560,2014,0
1505635,150563,2014,1
1505650,150565,2014,7
1505700,150570,2014,15
1505809,150580,2014,14
1505908,150590,2014,3
1506005,150600,2014,0
1506104,150610,2014,0
1506112,150611,2014,0
1506138,150613,2014,10
1506161,150616,2014,17
1506187,150618,2014,10
1506195,150619,2014,3
1506203,150620,2014,10
1506302,150630,2014,8
1506351,150635,2014,8
1506401,150640,2014,0
1506500,150650,2014,18
1506559,150655,2014,4
1506583,150658,2014,30
1506609,150660,2014,1
1506708,150670,2014,9
1506807,150680,2014,19
1506906,150690,2014,1
1507003,150700,2014,1
1507102,150710,2014,1
1507151,150715,2014,33
1507201,150720,2014,16
1507300,150730,2014,184
1507409,150740,2014,16
1507458,150745,2014,53
1507466,150746,2014,33
1507474,150747,2014,2
1507508,150750,2014,7
1507607,150760,2014,3
1507706,150770,2014,4
1507755,150775,2014,0
1507805,150780,2014,514
1507904,150790,2014,5
1507953,150795,2014,33
1507961,150796,2014,2
1507979,150797,2014,5
1508001,150800,2014,33
1508035,150803,2014,19
1508050,150805,2014,0
1508084,150808,2014,27
1508100,150810,2014,16
1508126,150812,2014,1
1508159,150815,2014,79
1508209,150820,2014,7
1508308,150830,2014,1
1508357,150835,2014,94
1508407,150840,2014,14
1600055,160005,2014,12
1600105,160010,2014,2
1600154,160015,2014,138
1600204,160020,2014,79
1600212,160021,2014,1
1600238,160023,2014,12
1600253,160025,2014,0
1600279,160027,2014,875
1600303,160030,2014,286
1600402,160040,2014,25
1600501,160050,2014,620
1600535,160053,2014,117
1600550,160055,2014,0
1600600,160060,2014,21
1600709,160070,2014,2
1600808,160080,2014,3
1700251,170025,2014,17
1700301,170030,2014,9
1700350,170035,2014,0
1700400,170040,2014,1
1700707,170070,2014,1
1701002,170100,2014,3
1701051,170105,2014,1
1701101,170110,2014,3
1701309,170130,2014,5
1701903,170190,2014,6
1702000,170200,2014,326
1702109,170210,2014,487
1702158,170215,2014,8
1702208,170220,2014,25
1702307,170230,2014,1
1702406,170240,2014,23
1702554,170255,2014,4
1702703,170270,2014,0
1702901,170290,2014,3
1703008,170300,2014,7
1703057,170305,2014,7
1703073,170307,2014,2
1703107,170310,2014,14
1703206,170320,2014,9
1703305,170330,2014,5
1703602,170360,2014,3
1703701,170370,2014,0
1703800,170380,2014,0
1703826,170382,2014,1
1703842,170384,2014,5
1703867,170386,2014,16
1703883,170388,2014,2
1703891,170389,2014,0
1703909,170390,2014,2
1704105,170410,2014,0
1704600,170460,2014,6
1705102,170510,2014,2
1705508,170550,2014,40
1705557,170555,2014,5
1705607,170560,2014,1
1706001,170600,2014,0
1706100,170610,2014,2
1706258,170625,2014,0
1706506,170650,2014,7
1707009,170700,2014,8
1707108,170710,2014,29
1707207,170720,2014,11
1707306,170730,2014,0
1707405,170740,2014,1
1707553,170755,2014,6
1707652,170765,2014,0
1707702,170770,2014,3
1708205,170820,2014,154
1708254,170825,2014,13
1708304,170830,2014,8
1709005,170900,2014,15
1709302,170930,2014,48
1709500,170950,2014,50
1709807,170980,2014,1
1710508,171050,2014,27
1710706,171070,2014,7
1710904,171090,2014,1
1711100,171110,2014,3
1711506,171150,2014,0
1711803,171180,2014,1
1711902,171190,2014,16
1711951,171195,2014,6
1712009,171200,2014,1
1712157,171215,2014,11
1712405,171240,2014,2
1712454,171245,2014,1
1712504,171250,2014,9
1712702,171270,2014,0
1712801,171280,2014,5
