cod_ibge,id_mun,nome_mun,sigla_uf,id_uf,sigla_regiao,area_total,area_amazonia,pctg_amazonia
1707108,170710,Divinópolis do Tocantins,TO,17,N,2358.282,2358.282,100.0
1707207,170720,Dois Irmãos do Tocantins,TO,17,N,3747.645,3747.645,100.0
1707306,170730,Dueré,TO,17,N,3420.657,3420.657,100.0
1707405,170740,Esperantina,TO,17,N,506.175,506.175,100.0
1707553,170755,Fátima,TO,17,N,380.373,380.373,100.0
1707652,170765,Figueirópolis,TO,17,N,1935.709,1935.709,100.0
1707702,170770,Filadélfia,TO,17,N,1991.258,1991.258,100.0
1708205,170820,Formoso do Araguaia,TO,17,N,13431.861,13431.861,100.0
1708254,170825,Tabocão,TO,17,N,624.463,624.463,100.0
1708304,170830,Goianorte,TO,17,N,1797.229,1797.229,100.0
1709005,170900,Goiatins,TO,17,N,6414.846,6414.846,100.0
1709302,170930,Guaraí,TO,17,N,2106.753,2106.753,100.0
1709500,170950,Gurupi,TO,17,N,1844.164,1844.164,100.0
1709807,170980,Ipueiras,TO,17,N,821.152,821.152,100.0
1710508,171050,Itacajá,TO,17,N,3047.204,3047.204,100.0
1710706,171070,Itaguatins,TO,17,N,730.163,730.163,100.0
1710904,171090,Itapiratins,TO,17,N,1246.349,1246.349,100.0
1711100,171110,Itaporã do Tocantins,TO,17,N,969.794,969.794,100.0
1711506,171150,Jaú do Tocantins,TO,17,N,2167.201,2167.201,100.0
1711803,171180,Juarina,TO,17,N,483.452,483.452,100.0
1711902,171190,Lagoa da Confusão,TO,17,N,10563.181,10563.181,100.0
1711951,171195,Lagoa do Tocantins,TO,17,N,917.632,917.632,100.0
1712009,171200,Lajeado,TO,17,N,318.292,318.292,100.0
1712157,171215,Lavandeira,TO,17,N,468.006,468.006,100.0
1712405,171240,Lizarda,TO,17,N,5716.641,5716.641,100.0
1712454,171245,Luzinópolis,TO,17,N,281.543,281.543,100.0
1712504,171250,Marianópolis do Tocantins,TO,17,N,2089.575,2089.575,100.0
1712702,171270,Mateiros,TO,17,N,9589.273,9589.273,100.0
1712801,171280,Maurilândia do Tocantins,TO,17,N,736.303,736.303,100.0
1713205,171320,Miracema do Tocantins,TO,17,N,2663.745,2663.745,100.0
