cod_ibge,nome_mun,sigla_uf,rede_geral_2022,fossa_2022,outra_2022,nada_2022,rede_geral_2010,fossa_2010,outra_2010,nada_2010,rede_geral_2000,fossa_2000,outra_2000,nada_2000
1400472,Rorainópolis,RR,4.39,31.67,62.49,1.46,0.67,10.99,81.25,7.09,0.18,32.62,42.69,24.52
1400506,São João da Baliza,RR,4.92,13.75,80.56,0.77,6.52,19.32,66.78,7.38,1.93,44.51,32.69,20.87
1400605,São Luiz,RR,4.42,9.78,85.23000000000002,0.58,0.75,43.48,52.42,3.34,0.49,46.77,34.25999999999999,18.48
1400704,Uiramutã,RR,0.21,1.07,78.58000000000001,20.14,0.14,5.47,35.74,58.66,0.1,4.93,25.81,69.16
1500107,Abaetetuba,PA,4.49,36.04,59.21,0.25,1.06,16.57,79.67,2.7,0.37,28.64,63.47,7.52
1500131,Abel Figueiredo,PA,2.5,4.9,91.79999999999998,0.8,0.48,9.31,85.80999999999999,4.39,0.0,0.22,82.52000000000001,17.26
1500206,Acará,PA,2.2,35.63,61.01,1.16,0.23,6.17,82.74,10.85,0.13,4.35,72.61999999999999,22.89
1500305,Afuá,PA,2.43,8.04,88.86,0.66,0.12,3.49,94.85,1.54,0.21,0.29,93.19,6.31
1500347,Água Azul do Norte,PA,0.2,2.46,95.69,1.66,7.16,13.21,75.17,4.46,0.26,13.47,28.67,57.61
1500404,Alenquer,PA,5.94,30.49,63.24,0.33,0.53,19.78,76.93,2.78,0.01,21.19,72.29,6.5
1500503,Almeirim,PA,17.56,9.57,72.37,0.5,17.01,17.87,58.39,6.74,4.59,43.11,40.120000000000005,12.18
1500602,Altamira,PA,49.09,18.19,30.95,1.78,1.59,17.16,77.4,3.84,1.92,30.49,59.66,7.92
1500701,Anajás,PA,0.28,0.74,98.29,0.69,0.72,8.65,84.3,6.33,0.07,0.3,78.79,20.84
1500800,Ananindeua,PA,31.48,48.74,19.61,0.17,11.51,43.94,43.17999999999999,1.37,6.84,72.88,13.79,6.5
1500859,Anapu,PA,1.97,7.56,84.57000000000001,5.9,0.06,1.69,71.18,27.07,0.05,6.2,42.28,51.46
1500909,Augusto Corrêa,PA,3.94,15.47,79.94000000000001,0.65,0.43,26.37,70.35,2.85,0.05,8.23,86.07,5.65
1500958,Aurora do Pará,PA,0.87,38.23,59.17,1.73,0.72,17.69,72.38,9.21,0.05,8.96,68.55000000000001,22.43
1501006,Aveiro,PA,5.68,20.92,72.93000000000002,0.47,0.84,7.71,87.19,4.25,0.79,4.89,82.19,12.13
1501105,Bagre,PA,0.19,0.43,96.88,2.49,0.67,2.29,92.97,4.07,0.05,5.97,54.72,39.26
1501204,Baião,PA,2.79,1.61,95.4,0.19,0.75,23.49,68.81,6.94,0.03,12.4,71.52000000000001,16.05
1501253,Bannach,PA,0.23,1.13,96.75,1.89,0.1,1.73,85.46,12.7,0.0,0.24,63.93,35.84
1501303,Barcarena,PA,15.15,30.93,53.59,0.33,12.05,17.35,67.14,3.45,14.12,26.09,50.45,9.34
1501402,Belém,PA,59.91,24.04,15.96,0.09,37.63,30.78,30.42,1.18,25.7,49.39,20.41,4.49
1501451,Belterra,PA,1.12,22.73,75.94000000000001,0.21,0.3,20.94,77.95000000000002,0.8,0.03,3.59,93.25,3.12
1501501,Benevides,PA,7.17,55.92,36.71,0.2,1.29,16.11,79.69,2.91,0.21,59.0,34.510000000000005,6.27
1501576,Bom Jesus do Tocantins,PA,1.96,6.21,89.00999999999999,2.82,1.17,12.06,70.58,16.19,0.07,1.78,56.44,41.72
1501600,Bonito,PA,0.55,16.71,81.82000000000001,0.93,0.27,13.67,82.14999999999999,3.91,0.0,8.36,78.63999999999999,13.01
1501709,Bragança,PA,4.6,40.15,54.84,0.41,1.26,13.49,82.87,2.36,0.13,34.07,59.96,5.85
1501725,Brasil Novo,PA,5.75,10.1,83.1,1.04,0.39,2.13,92.8,4.68,0.05,3.93,76.46,19.55
1501758,Brejo Grande do Araguaia,PA,1.55,13.29,84.56,0.61,0.78,6.85,80.55,11.81,0.0,0.5,68.2,31.3
1501782,Breu Branco,PA,11.48,13.31,73.75999999999999,1.45,5.09,0.39,86.62999999999998,7.89,7.41,0.42,61.89000000000001,30.28
1501808,Breves,PA,0.75,12.28,86.17,0.8,0.38,7.22,85.98,6.42,0.09,3.89,84.78,11.25
1501907,Bujaru,PA,3.44,23.62,71.32000000000001,1.62,0.58,10.04,81.71,7.67,0.18,7.2,71.39,21.22
1501956,Cachoeira do Piriá,PA,0.27,22.17,76.45,1.1,0.16,2.78,88.09,8.97,0.03,3.21,57.17999999999999,39.57
1502004,Cachoeira do Arari,PA,5.53,49.5,44.32,0.66,0.9,38.11,55.35,5.64,0.13,21.17,67.82,10.87
1502103,Cametá,PA,3.97,12.54,82.9,0.59,3.55,7.88,85.45,3.12,3.38,12.85,75.74000000000001,8.04
1502152,Canaã dos Carajás,PA,59.78,17.35,22.72,0.15,21.3,15.55,60.46,2.7,0.04,5.16,65.97,28.84
1502202,Capanema,PA,5.19,32.36,62.23,0.21,0.16,65.6,30.950000000000003,3.29,0.16,45.3,49.24,5.29
1502301,Capitão Poço,PA,1.98,16.71,80.85,0.46,1.09,2.22,92.34,4.34,0.16,1.06,86.38999999999999,12.39
1502400,Castanhal,PA,17.19,48.34,34.379999999999995,0.08,3.57,32.82,62.64,0.97,3.26,58.4,34.21,4.13
1502509,Chaves,PA,0.99,2.99,95.43,0.59,0.63,1.37,94.69,3.32,0.0,2.34,94.2,3.46
1502608,Colares,PA,3.03,41.98,54.3,0.7,0.47,1.54,94.02,3.98,0.05,15.53,80.38,4.04
1502707,Conceição do Araguaia,PA,2.29,13.91,81.73999999999998,2.06,0.41,4.36,85.03000000000002,10.2,0.3,36.66,31.99,31.05
1502756,Concórdia do Pará,PA,2.41,35.79,61.23000000000001,0.56,0.32,6.49,88.02000000000001,5.17,0.02,11.34,75.55,13.09
1502764,Cumaru do Norte,PA,3.03,19.39,64.78,12.8,0.64,1.02,71.13000000000001,27.2,0.26,29.06,34.14,36.54
1502772,Curionópolis,PA,2.23,58.82,38.15,0.81,0.38,4.13,93.46,2.03,0.45,14.7,72.75,12.1
1502806,Curralinho,PA,0.44,1.63,97.4,0.53,1.2,0.32,91.4,7.07,0.21,5.74,77.39,16.66
1502855,Curuá,PA,4.84,9.74,85.05000000000001,0.36,0.08,1.1,96.97,1.85,0.0,0.23,90.59,9.18
1502905,Curuçá,PA,6.17,53.69,39.93000000000001,0.21,0.52,22.59,73.92999999999999,2.96,0.04,25.44,70.52000000000001,3.99
1502939,Dom Eliseu,PA,3.36,11.14,84.85999999999999,0.65,1.24,5.91,90.51,2.33,0.07,3.21,84.44999999999999,12.27
1502954,Eldorado do Carajás,PA,2.43,30.15,66.53999999999999,0.89,0.09,7.54,78.27999999999999,14.1,0.05,9.0,50.44,40.51
1503002,Faro,PA,2.29,46.8,50.76,0.14,0.47,1.64,94.79999999999998,3.1,0.07,2.1,91.59,6.24
1503044,Floresta do Araguaia,PA,0.37,9.49,86.35000000000001,3.79,0.04,1.18,76.53,22.25,0.06,0.46,45.790000000000006,53.68
1503077,Garrafão do Norte,PA,0.92,9.57,89.23,0.29,0.0,1.12,91.66,7.22,0.02,0.13,84.24,15.61
1503093,Goianésia do Pará,PA,2.1,12.73,84.04,1.13,0.4,8.28,84.97000000000001,6.35,0.02,13.57,61.46,24.95
1503101,Gurupá,PA,0.37,28.52,70.56,0.56,0.63,4.84,90.39,4.13,0.13,5.97,78.79,15.1
1503200,Igarapé-Açu,PA,0.99,13.74,84.78,0.49,0.88,0.83,96.62999999999998,1.67,0.14,29.3,65.14000000000001,5.42
