cod_ibge,nome_mun,sigla_uf,area_urb_densa_km2,area_urb_pouco_densa_km2_2019,total_area_urb_km2_2019,lot_vazio_km2_2019,area_total_map_km2_2019,outros_km2_2019,vazios_intraurb_km2_2019,vazios_km2_2019
1718451,Pugmil,TO,0.86,0.0,0.86,0.17,1.03,0.0,0.0,0.0
1718501,Recursolândia,TO,0.55,0.13,0.68,0.0,0.68,0.0,0.0,0.0
1718550,Riachinho,TO,1.2,0.25,1.45,0.0,1.45,0.0,0.0,0.0
1718659,Rio da Conceição,TO,0.59,0.31,0.89,0.0,0.89,0.0,0.0,0.0
1718709,Rio dos Bois,TO,0.67,0.12,0.8,0.0,0.8,0.06,0.0,0.0
1718758,Rio Sono,TO,0.71,1.19,1.89,0.0,1.89,0.0,0.0,0.0
1718808,Sampaio,TO,0.99,0.17,1.15,0.0,1.15,0.0,0.0,0.0
1718840,Sandolândia,TO,1.48,0.08,1.56,0.0,1.56,0.0,0.0,0.0
1718865,Santa Fé do Araguaia,TO,1.82,0.5,2.32,0.0,2.32,0.0,0.0,0.0
1718881,Santa Maria do Tocantins,TO,0.57,0.32,0.89,0.0,0.89,0.0,0.0,0.0
1718899,Santa Rita do Tocantins,TO,0.57,0.28,0.85,0.11,0.95,0.0,0.0,0.0
1718907,Santa Rosa do Tocantins,TO,1.3,1.3,2.6,0.0,2.6,0.0,0.0,0.0
1719004,Santa Tereza do Tocantins,TO,0.73,0.23,0.96,0.0,0.96,0.0,0.0,0.0
1720002,Santa Terezinha do Tocantins,TO,0.61,0.45,1.06,0.0,1.06,0.0,0.0,0.0
1720101,São Bento do Tocantins,TO,1.1,1.04,2.14,0.0,2.14,0.0,0.0,0.0
1720150,São Félix do Tocantins,TO,0.32,0.6,0.92,0.14,1.06,0.0,0.0,0.0
1720200,São Miguel do Tocantins,TO,3.83,2.96,6.78,0.64,7.42,0.03,0.0,0.0
1720259,São Salvador do Tocantins,TO,1.54,0.0,1.54,0.0,1.54,0.0,0.0,0.0
1720309,São Sebastião do Tocantins,TO,0.97,0.16,1.13,0.0,1.13,0.0,0.0,0.0
1720499,São Valério,TO,2.15,0.29,2.44,0.0,2.44,0.0,0.0,0.0
1720655,Silvanópolis,TO,2.25,0.22,2.47,0.0,2.47,0.0,0.0,0.0
1720804,Sítio Novo do Tocantins,TO,2.59,0.63,3.22,0.0,3.22,0.0,0.0,0.0
1720853,Sucupira,TO,0.72,0.0,0.72,0.0,0.72,0.0,0.0,0.0
1720903,Taguatinga,TO,3.5,0.73,4.23,0.0,4.23,0.0,0.0,0.0
1720937,Taipas do Tocantins,TO,0.75,0.0,0.75,0.0,0.75,0.0,0.0,0.0
1720978,Talismã,TO,1.08,0.0,1.08,0.0,1.08,0.0,0.0,0.0
1721000,Palmas,TO,72.53,31.93,104.46,5.61,110.08,3.6,0.0,0.0
1721109,Tocantínia,TO,1.76,0.71,2.47,0.0,2.47,0.0,0.0,0.0
1721208,Tocantinópolis,TO,5.61,1.19,6.8,0.26,7.07,0.14,0.0,0.0
1721257,Tupirama,TO,0.92,0.0,0.92,0.0,0.92,0.28,0.0,0.0
1721307,Tupiratins,TO,0.54,0.13,0.66,0.0,0.66,0.0,0.0,0.0
1722081,Wanderlândia,TO,2.73,0.91,3.64,0.49,4.13,0.0,0.0,0.0
1722107,Xambioá,TO,2.82,0.3,3.13,0.0,3.13,0.21,0.0,0.0
2100055,Açailândia,MA,22.68,5.96,28.63,1.93,30.57,2.08,0.0,0.0
2100204,Alcântara,MA,3.68,3.65,7.33,0.0,7.33,0.76,0.0,0.0
2100402,Altamira do Maranhão,MA,1.29,0.16,1.45,0.0,1.45,0.0,0.0,0.0
2100436,Alto Alegre do Maranhão,MA,5.96,0.6,6.56,0.0,6.56,0.0,0.0,0.0
2100477,Alto Alegre do Pindaré,MA,4.62,0.9,5.52,1.17,6.69,0.0,0.0,0.0
2100501,Alto Parnaíba,MA,2.75,0.32,3.07,0.0,3.07,0.06,0.0,0.0
2100550,Amapá do Maranhão,MA,2.43,0.18,2.62,0.0,2.62,0.0,0.0,0.0
2100600,Amarante do Maranhão,MA,5.11,4.33,9.44,0.74,10.18,0.0,0.0,0.0
2100709,Anajatuba,MA,1.92,2.99,4.91,0.0,4.91,0.0,0.0,0.0
2100832,Apicum-Açu,MA,4.0,0.63,4.62,0.29,4.91,0.0,0.0,0.0
2100873,Araguanã,TO,1.39,0.09,1.48,0.0,1.48,0.0,0.0,0.0
2100956,Arame,MA,1.81,8.45,10.26,0.0,10.26,0.05,0.0,0.0
2101004,Arari,MA,2.8,1.6,4.41,0.0,4.41,0.01,0.0,0.0
2101103,Axixá,MA,1.55,1.46,3.01,0.0,3.01,0.02,0.0,0.0
2101202,Bacabal,MA,16.0,4.76,20.76,1.28,22.04,0.23,0.0,0.0
2101251,Bacabeira,MA,3.09,2.29,5.39,0.13,5.52,0.35,0.0,0.0
2101301,Bacuri,MA,4.25,1.04,5.29,0.0,5.29,0.0,0.0,0.0
2101350,Bacurituba,MA,0.19,1.8,2.0,0.0,2.0,0.0,0.0,0.0
2101400,Balsas,MA,22.19,4.73,26.92,5.37,32.29,0.73,0.0,0.0
2101608,Barra do Corda,MA,17.45,19.77,37.22,2.66,39.88,0.57,0.0,0.0
2101772,Bela Vista do Maranhão,MA,2.58,0.72,3.3,0.48,3.78,0.0,0.0,0.0
2101806,Benedito Leite,MA,1.53,0.22,1.75,0.14,1.89,0.0,0.0,0.0
2101905,Bequimão,MA,2.71,4.07,6.77,0.2,6.97,0.0,0.0,0.0
2101939,Bernardo do Mearim,MA,1.06,0.17,1.23,0.0,1.23,0.0,0.0,0.0
2101970,Boa Vista do Gurupi,MA,1.9,0.42,2.32,0.01,2.33,0.0,0.0,0.0
2102002,Bom Jardim,MA,6.99,2.95,9.94,0.14,10.09,0.17,0.0,0.0
2102036,Bom Jesus das Selvas,MA,5.91,0.72,6.63,0.34,6.97,0.09,0.0,0.0
2102077,Bom Lugar,MA,2.09,0.57,2.66,0.0,2.66,0.0,0.0,0.0
2102150,Brejo de Areia,MA,1.01,0.12,1.14,0.0,1.14,0.0,0.0,0.0
2102309,Buriti Bravo,MA,3.54,0.69,4.23,0.0,4.23,0.0,0.0,0.0
2102325,Buriticupu,MA,11.28,2.62,13.9,0.44,14.34,0.0,0.0,0.0
2102358,Buritirana,MA,2.82,0.97,3.78,0.06,3.84,0.0,0.0,0.0
2102374,Cachoeira Grande,MA,1.08,0.94,2.02,0.0,2.02,0.0,0.0,0.0
2102408,Cajapió,MA,0.8,0.77,1.57,0.0,1.57,0.0,0.0,0.0
2102507,Cajari,MA,0.99,1.05,2.04,0.0,2.04,0.0,0.0,0.0
2102556,Campestre do Maranhão,MA,2.43,0.52,2.94,0.84,3.78,0.0,0.0,0.0
2102606,Cândido Mendes,MA,2.87,1.76,4.63,0.0,4.63,0.0,0.0,0.0
