ano,codigo_ibge,nome_mun,agropecuaria,industria,servicos,admin,bruto_total,impostos,pib,pib_pc
2010,1303700,Santo Antônio do Içá,11572.633,2241.929,9437.731,58941.826,82194.118,1307.204,83501.322,3410.03
2010,1303809,São Gabriel da Cachoeira,7035.445,7791.396,45218.401,97071.508,157116.75,5466.415,162583.165,4358.8
2010,1303908,São Paulo de Olivença,12061.993,3297.9,13418.86,77848.426,106627.178,2251.875,108879.053,3464.62
2010,1303957,São Sebastião do Uatumã,6903.193,1759.219,7165.217,25952.654,41780.283,832.527,42612.81,3986.98
2010,1304005,Silves,14365.159,2046.743,7335.059,23487.632,47234.593,1135.367,48369.96,5727.64
2010,1304062,Tabatinga,13029.231,14140.009,71042.767,125621.202,223833.21,13244.639,237077.849,4534.86
2010,1304104,Tapauá,17900.074,2587.101,9917.796,52523.838,82928.809,1430.393,84359.202,4422.04
2010,1304203,Tefé,69924.592,32750.701,87481.981,146577.075,336734.348,13434.799,350169.148,5703.17
2010,1304237,Tonantins,6319.992,1551.129,7097.624,42520.669,57489.413,1083.685,58573.098,3434.16
2010,1304260,Uarini,29865.723,3305.816,9901.604,33668.79,76741.933,1817.082,78559.015,6598.27
2010,1304302,Urucará,35989.823,4646.341,13656.874,45537.502,99830.54,2189.376,102019.917,5994.47
2010,1304401,Urucurituba,15277.095,3062.696,10845.972,43184.094,72369.857,1218.38,73588.237,4150.26
2010,1400027,Amajari,12973.605,1365.671,3874.282,57495.423,75708.981,1192.236,76901.218,8242.36
2010,1400050,Alto Alegre,14049.167,3214.662,9733.582,104728.8,131726.211,3241.182,134967.393,8287.33
2010,1400100,Boa Vista,10876.814,741782.609,1935903.289,1920304.78,4608867.493,514388.248,5123255.741,18023.26
2010,1400159,Bonfim,22497.076,4461.625,8871.091,70557.649,106387.44,2180.096,108567.536,9913.94
2010,1400175,Cantá,13207.699,7924.893,11965.466,86767.545,119865.603,4854.708,124720.311,9052.13
2010,1400209,Caracaraí,9495.846,11329.892,24366.095,120754.218,165946.051,8447.514,174393.565,9486.16
2010,1400233,Caroebe,9845.464,2673.323,7536.311,51587.782,71642.88,1675.172,73318.052,9035.99
2010,1400282,Iracema,4754.633,7040.449,9452.285,52434.955,73682.32,2645.137,76327.457,8797.54
2010,1400308,Mucajaí,11259.783,9636.972,25612.145,92802.857,139311.757,7940.623,147252.38,9940.08
2010,1400407,Normandia,9814.93,2192.203,6050.588,55718.091,73775.812,666.36,74442.172,8339.93
2010,1400456,Pacaraima,5371.365,4897.997,18383.048,69615.783,98268.192,4545.418,102813.61,9840.51
2010,1400472,Rorainópolis,13603.643,14594.47,41415.306,157923.724,227537.143,13927.725,241464.868,9437.01
2010,1400506,São João da Baliza,4777.181,4664.719,9600.973,43385.067,62427.94,3582.31,66010.25,9738.9
2010,1400605,São Luiz,5100.96,1988.079,8339.535,42110.881,57539.454,2166.706,59706.16,8845.36
2010,1400704,Uiramutã,1019.855,965.601,1809.067,50845.367,54639.89,369.874,55009.764,6752.15
2010,1500107,Abaetetuba,71932.591,31239.975,201654.938,241973.245,546800.749,36992.704,583793.453,4138.79
2010,1500131,Abel Figueiredo,22231.703,3926.601,10937.579,14547.786,51643.669,1955.029,53598.698,7891.45
2010,1500206,Acará,225732.825,47125.179,51364.283,106767.078,430989.365,9778.087,440767.452,8222.51
2010,1500305,Afuá,55457.345,9664.908,20205.317,72154.605,157482.176,3810.983,161293.159,4606.14
2010,1500347,Água Azul do Norte,62260.357,46264.869,17439.59,40876.202,166841.018,14032.234,180873.251,7217.32
2010,1500404,Alenquer,170231.936,22086.768,62026.56,99358.436,353703.7,8109.046,361812.746,6863.69
2010,1500503,Almeirim,38369.579,321313.118,96868.747,72693.351,529244.794,47622.61,576867.404,17135.52
2010,1500602,Altamira,111658.386,116091.274,348287.733,191487.598,767524.991,74882.878,842407.869,8020.64
2010,1500701,Anajás,25525.525,4981.748,14065.946,47639.889,92213.108,3162.721,95375.829,3850.3
2010,1500800,Ananindeua,8836.13,670904.363,2171688.607,748824.426,3600253.526,500259.121,4100512.646,8692.24
2010,1500859,Anapu,37292.546,13496.959,18354.677,38227.45,107371.632,4179.859,111551.491,5443.39
2010,1500909,Augusto Corrêa,29263.7,4893.657,22114.803,73509.641,129781.801,3526.028,133307.829,3291.63
2010,1500958,Aurora do Pará,108569.734,18462.532,24402.934,58720.019,210155.218,2805.489,212960.707,8012.37
2010,1501006,Aveiro,14079.479,1916.252,6301.491,32840.874,55138.096,810.065,55948.161,3548.43
2010,1501105,Bagre,25569.774,2929.303,9605.022,39513.57,77617.669,1227.462,78845.132,3305.18
2010,1501204,Baião,70386.396,8795.805,20140.602,66098.126,165420.928,3853.036,169273.964,4586.5
2010,1501253,Bannach,20681.887,607.454,3701.605,8473.016,33463.963,750.936,34214.898,9963.57
2010,1501303,Barcarena,52461.587,842954.449,565801.667,225232.853,1686450.556,540699.053,2227149.609,22316.13
2010,1501402,Belém,32768.671,2682844.727,10859048.854,2378641.143,15953303.395,2847735.741,18801039.135,13506.19
2010,1501451,Belterra,56938.346,6080.489,15068.087,30696.794,108783.717,1087.563,109871.28,6730.66
2010,1501501,Benevides,7815.526,231197.32,142985.25,84023.352,466021.449,114825.233,580846.682,11242.99
2010,1501576,Bom Jesus do Tocantins,36340.303,3293.018,17259.354,26975.72,83868.394,2967.456,86835.85,5695.65
2010,1501600,Bonito,22916.257,2847.813,7244.774,22657.859,55666.703,1121.531,56788.233,4166.41
2010,1501709,Bragança,83843.023,30974.664,175151.872,189859.376,479828.935,29442.677,509271.612,4500.26
2010,1501725,Brasil Novo,43258.664,4054.02,19784.923,32839.409,99937.016,4567.12,104504.136,5818.72
2010,1501758,Brejo Grande do Araguaia,12540.394,1120.482,6161.476,13971.275,33793.627,1409.93,35203.558,4806.6
2010,1501782,Breu Branco,46729.528,299672.794,80473.429,95169.465,522045.215,12006.846,534052.061,10173.0
2010,1501808,Breves,28129.077,32579.917,96993.543,185187.534,342890.071,20549.513,363439.583,3913.63
