geocode,state_acronym,feature_id,biome,class_id,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1100064,RO,58781,Amazônia,41,236.2541385,267.5941485,310.8589658,333.7759335,787.4519278,1196.994546,1703.053905,1868.559485,1744.764463,1253.919256,1088.165504,1323.80237,1844.1403,1946.469893,1887.014484,1288.401443,1262.65423,1392.189961,1527.686592,1578.414394,1514.048898,911.6485125,877.3376406
1100064,RO,58781,Amazônia,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.658632782,3.658632782,3.658632782,3.658632782,3.658632782,3.397280176,3.397280176,3.397280176,8.448604523,8.448604523
1100064,RO,58781,Amazônia,24,755.4496068,758.6731347,760.3284863,761.8967131,762.0709524,764.5974158,765.4686628,766.4269968,767.1240087,771.3931278,772.2643905,776.0978505,785.681664,793.6099613,798.8374614,801.5382922,802.6709373,807.6370782,809.5537634,812.4288439,812.9516104,813.3001012,814.5198676
1100064,RO,58781,Amazônia,33,40.41674594,36.67161063,41.63697268,43.11659217,39.71836902,37.97794285,40.94176725,44.77389625,41.55011919,49.38900674,52.78685377,51.48045731,61.31854421,59.92531836,78.47591767,82.30916056,83.70108466,80.47582687,83.17607137,78.8204894,65.2333538,64.71084038,79.51864304
1100072,RO,58782,Amazônia,3,117705.0403,115112.6282,112570.8793,103816.2075,101772.4552,101255.2731,100863.804,100573.6627,100534.152,100906.6246,101863.9253,102013.258,102542.5431,102639.185,103225.2903,103300.731,103114.8237,102628.6769,102407.0777,101295.1667,99737.0246,98072.64481,93643.92264
1100072,RO,58782,Amazônia,4,4710.01994,4575.138979,4466.496421,4492.923888,4367.020191,4146.484085,4311.70791,4527.523427,4536.510277,4597.546674,4738.957666,4748.460564,4575.367105,4654.677576,4974.756969,4971.621686,4962.297162,4915.039209,4948.957626,4927.498465,4969.189155,4820.540065,3788.820442
1100072,RO,58782,Amazônia,6,148.1011593,147.0545815,146.5321322,144.5275497,143.0461353,140.3436087,141.5636565,140.953977,143.8302733,144.5272487,146.6196094,146.6195308,144.963486,141.9994656,143.1323896,135.8100238,132.5850428,138.949091,143.7436239,141.7387143,143.9177594,143.0461525,131.7147547
1100072,RO,58782,Amazônia,11,1585.279201,1696.611404,1793.524087,1796.227253,1887.322011,1956.099349,2025.138633,2051.714926,1879.632767,1801.602273,1917.187553,1941.512017,1837.864614,1732.491534,1635.827665,1724.911499,1767.88751,1762.910348,1771.964806,1703.544193,1508.397545,1487.22002,1314.953166
1100072,RO,58782,Amazônia,12,3504.682899,3554.804255,3436.263811,3354.061465,3284.852248,3229.845605,3216.773486,3242.832091,3315.187155,3319.802213,3263.409715,3317.801461,3353.01401,3460.92611,3544.69053,3470.677816,3461.70238,3407.312194,3325.902726,3349.173376,3639.334182,3720.935756,1676.267291
1100072,RO,58782,Amazônia,29,50.5627749,50.47559736,50.47559736,50.47559736,50.47559736,50.56278474,50.64995049,50.64991205,50.47559736,50.3013162,50.12695724,50.38842679,50.21407256,50.21407256,50.3884384,50.21413461,50.21413461,50.21411968,50.12695504,50.21407044,50.1268929,49.95258901,50.4756573
1100072,RO,58782,Amazônia,15,177485.2265,180042.8427,182589.0702,191129.1801,190613.3053,184861.644,181933.8741,180402.4862,177181.3417,171848.5738,168414.7376,168113.5435,165278.095,159237.8215,150598.1469,146127.1835,145365.6235,144526.8039,145287.2325,146293.5768,145991.9459,147571.6153,154623.1584
1100072,RO,58782,Amazônia,39,94.47691147,108.244085,136.7574348,141.9013334,700.2811448,5704.658957,8004.396714,10288.42503,11090.88963,16372.18485,18027.07829,12604.01825,8766.852239,14648.35812,21872.01118,35953.81133,37272.76774,36492.05422,35305.32773,35820.517,39394.17715,41816.49458,42461.88369
1100072,RO,58782,Amazônia,41,144.8299987,282.2560208,334.2030588,410.3977372,2464.749044,3956.547339,4809.953,4134.523687,6585.817187,6221.485804,6878.786592,12465.12736,18831.67752,18912.64353,19417.33899,9701.950271,9335.253283,11513.47438,12094.76615,11714.61778,9938.638559,7763.975135,7678.150499
1100072,RO,58782,Amazônia,24,146.6987085,157.594102,158.8144006,165.3516749,166.3976385,170.2328825,171.2788389,173.0221191,175.8985462,179.1236279,183.1331923,190.1062255,195.3361049,199.8685198,204.5754331,205.795757,209.8054242,216.1686221,222.7935054,227.2389547,227.5004508,227.587615,228.5464162
1100072,RO,58782,Amazônia,33,455.8047974,303.0732703,347.7067503,529.4690973,580.8187432,559.0315178,501.5828999,444.9291413,536.9881705,588.9508401,546.7606961,439.8878248,454.795936,352.537724,364.5644015,388.0161877,357.7633595,379.1201764,472.8298558,507.4371942,430.4710098,356.7112081,432.8302771
1100080,RO,58783,Amazônia,3,434708.9331,428746.1614,414499.3735,392166.1461,376231.8197,360092.1812,347616.1627,336227.7585,327443.0924,326147.2886,323226.628,313959.5967,314470.1279,318989.8628,317709.563,315963.7966,312024.7476,309484.0351,307917.6055,301458.4578,297330.1805,291025.6423,285536.7859
1100080,RO,58783,Amazônia,4,1738.519934,1706.597783,1588.178902,1291.674628,1158.369085,915.0178527,612.8026323,484.7745692,386.2990016,298.9870994,313.9400003,339.4848973,358.0021936,331.3877979,350.1220794,366.0321028,411.9707395,446.189382,434.8375776,413.148378,330.1733884,356.2243865,426.493496
1100080,RO,58783,Amazônia,6,801.2052413,788.6283368,746.2665859,727.3798469,720.1894673,679.7998188,598.4307812,559.6273196,536.0364686,545.2939454,554.1944759,533.5597262,537.8372557,546.5768052,533.9905753,545.8707691,547.7906835,555.5670624,573.3945574,573.6488533,590.085594,581.6897931,578.7962912
1100080,RO,58783,Amazônia,11,9956.790704,9996.371342,10175.57609,10666.75526,10816.89392,11370.32281,12224.67717,12452.16538,12525.38733,12190.90285,11794.18541,11033.01416,10290.97337,9517.264203,10020.90497,9613.271825,8360.323006,8339.476214,9436.050648,9521.889862,8886.875179,8700.392727,8244.010121
1100080,RO,58783,Amazônia,12,5007.798486,4971.347648,4781.957723,4367.305392,4134.824024,3897.123822,3531.241247,3399.28435,3307.158022,3392.630961,3596.281841,4107.708276,4439.803216,4851.358318,4401.092448,4854.331279,5824.898451,5868.410692,5111.052069,5167.690594,5788.198813,6149.901885,5256.898681
1100080,RO,58783,Amazônia,29,905.1967252,905.5464369,905.808654,905.6343303,906.2476233,906.5094761,905.6339464,905.6334325,906.0720414,905.9842136,905.8962553,905.371718,905.1099873,905.6342543,904.8471942,905.8088561,904.6723541,905.022353,904.8476452,905.1101415,904.7596226,905.2849306,907.3879053
