cod_ibge,nome_mun,sigla_uf,rede_geral_2000,rede_geral_2010,rede_geral_2022,outras_2000,outras_2010,outras_2022
1504976,Nova Ipixuna,PA,0.11,4.5,17.33,99.88,95.51,82.67
1505007,Nova Timboteua,PA,61.44,71.51,79.71,38.56,28.5,20.29
1505031,Novo Progresso,PA,9.62,33.42,51.8,90.38,66.57,48.2
1505064,Novo Repartimento,PA,6.85,8.3,10.47,93.16,91.69,89.52
1505106,Óbidos,PA,53.32,57.08,36.29,46.68,42.92,63.71
1505205,Oeiras do Pará,PA,33.41,44.45,43.3,66.59,55.55,56.7
1505304,Oriximiná,PA,62.5,50.64,49.82,37.5,49.37,50.18
1505403,Ourém,PA,27.22,41.95,57.9,72.78,58.06,42.1
1505437,Ourilândia do Norte,PA,35.54,73.4,69.25,64.47,26.6,30.75
1505486,Pacajá,PA,3.78,2.32,3.08,96.22,97.68,96.92
1505494,Palestina do Pará,PA,60.07,72.45,67.14,39.93,27.56,32.86
1505502,Paragominas,PA,34.1,54.7,80.77,65.89,45.31,19.23
1505536,Parauapebas,PA,69.72,73.08,70.83,30.28,26.91,29.17
1505551,Pau D'Arco,PA,9.12,24.73,62.47,90.88,75.28,37.53
1505601,Peixe-Boi,PA,35.59,60.39,69.49,64.41,39.61,30.51
1505635,Piçarra,PA,0.49,6.47,6.8,99.5,93.53,93.2
1505650,Placas,PA,0.25,6.11,16.03,99.75,93.89,83.97
1505700,Ponta de Pedras,PA,39.19,50.33,52.77,60.81,49.68,47.23
1505809,Portel,PA,14.19,21.36,7.47,85.81,78.63,92.53
1505908,Porto de Moz,PA,49.41,50.23,54.22,50.59,49.78,45.78
1506005,Prainha,PA,40.45,47.53,39.2,59.55,52.46,60.8
1506104,Primavera,PA,52.77,69.21,79.0,47.23,30.8,21.0
1506112,Quatipuru,PA,18.27,32.77,45.71,81.73,67.23,54.29
1506138,Redenção,PA,9.91,22.73,38.3,90.09,77.28,61.7
1506161,Rio Maria,PA,5.25,21.18,24.62,94.75,78.83,75.38
1506187,Rondon do Pará,PA,70.07,76.23,75.62,29.93,23.78,24.38
1506195,Rurópolis,PA,21.61,30.15,35.91,78.38,69.85,64.09
1506203,Salinópolis,PA,51.64,64.93,75.17,48.36,35.07,24.83
1506302,Salvaterra,PA,48.16,79.47,84.4,51.84,20.54,15.6
1506351,Santa Bárbara do Pará,PA,71.53,67.89,80.28,28.47,32.12,19.72
1506401,Santa Cruz do Arari,PA,60.08,81.88,84.19,39.92,18.11,15.81
1506500,Santa Izabel do Pará,PA,57.26,65.18,73.97,42.75,34.83,26.03
1506559,Santa Luzia do Pará,PA,13.66,13.52,12.12,86.34,86.48,87.88
1506583,Santa Maria das Barreiras,PA,19.71,19.98,16.13,80.29,80.02,83.87
1506609,Santa Maria do Pará,PA,66.61,76.16,80.18,33.39,23.86,19.83
1506708,Santana do Araguaia,PA,1.3,5.73,21.99,98.7,94.26,78.01
1506807,Santarém,PA,60.77,59.07,49.97,39.23,40.92,50.03
1506906,Santarém Novo,PA,56.05,72.72,86.69,43.96,27.28,13.31
1507003,Santo Antônio do Tauá,PA,51.58,78.44,84.08,48.42,21.56,15.92
1507102,São Caetano de Odivelas,PA,48.21,70.82,61.97,51.8,29.17,38.04
1507151,São Domingos do Araguaia,PA,9.16,65.2,77.69,90.85,34.8,22.31
1507201,São Domingos do Capim,PA,32.49,46.13,43.65,67.51,53.88,56.35
1507300,São Félix do Xingu,PA,5.0,6.32,13.78,95.0,93.69,86.21
1507409,São Francisco do Pará,PA,46.5,61.14,59.47,53.5,38.85,40.53
1507458,São Geraldo do Araguaia,PA,8.92,49.33,60.72,91.08,50.65,39.28
1507466,São João da Ponta,PA,49.28,79.41,85.51,50.72,20.6,14.49
1507474,São João de Pirabas,PA,45.73,61.71,78.7,54.27,38.29,21.3
1507508,São João do Araguaia,PA,21.87,36.79,27.95,78.12,63.21,72.05
1507607,São Miguel do Guamá,PA,30.01,35.66,49.02,69.98,64.34,50.98
1507706,São Sebastião da Boa Vista,PA,27.41,28.77,26.3,72.59,71.23,73.71
1507755,Sapucaia,PA,43.04,74.7,80.07,56.96,25.3,19.94
1507805,Senador José Porfírio,PA,38.81,47.73,41.8,61.19,52.28,58.2
1507904,Soure,PA,58.32,75.82,78.34,41.68,24.17,21.66
1507953,Tailândia,PA,14.21,29.53,37.71,85.79,70.47,62.29
1507961,Terra Alta,PA,67.28,79.92,78.0,32.72,20.08,22.0
1507979,Terra Santa,PA,70.19,78.66,85.31,29.81,21.34,14.69
1508001,Tomé-Açu,PA,53.35,60.87,68.68,46.65,39.11,31.32
1508035,Tracuateua,PA,19.87,25.96,31.34,80.13,74.04,68.66
1508050,Trairão,PA,0.24,1.24,8.83,99.76,98.74,91.16
